# JMH 1.14.1 (released 50 days ago)
# VM version: JDK 1.8.0_101, VM 25.101-b13
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: -Xmx64g -Xms64g
# Warmup: 15 iterations, 30 s each
# Measurement: 10 iterations, 30 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.sample.LDBCBenchmark.ldbcq2
# Parameters: (neo4jLDBCStoreLocation = /mnt/ssds/ubuntu/ragadeeshu/ldbc300/sf300_p064_regular_utc_30.db/)

# Run progress: 0.00% complete, ETA 04:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 33.487 s/op
# Warmup Iteration   2: 0.853 ?(99.9%) 0.126 s/op
# Warmup Iteration   3: 0.713 ?(99.9%) 0.125 s/op
# Warmup Iteration   4: 0.687 ?(99.9%) 0.084 s/op
# Warmup Iteration   5: 0.632 ?(99.9%) 0.113 s/op
# Warmup Iteration   6: 0.621 ?(99.9%) 0.081 s/op
# Warmup Iteration   7: 0.593 ?(99.9%) 0.086 s/op
# Warmup Iteration   8: 0.567 ?(99.9%) 0.080 s/op
# Warmup Iteration   9: 0.549 ?(99.9%) 0.069 s/op
# Warmup Iteration  10: 0.548 ?(99.9%) 0.063 s/op
# Warmup Iteration  11: 0.506 ?(99.9%) 0.065 s/op
# Warmup Iteration  12: 0.492 ?(99.9%) 0.068 s/op
# Warmup Iteration  13: 0.473 ?(99.9%) 0.052 s/op
# Warmup Iteration  14: 0.510 ?(99.9%) 0.064 s/op
# Warmup Iteration  15: 0.477 ?(99.9%) 0.057 s/op
Iteration   1: 0.502 ?(99.9%) 0.061 s/op
                 ldbcq2?p0.00:   0.269 s/op
                 ldbcq2?p0.50:   0.490 s/op
                 ldbcq2?p0.90:   0.634 s/op
                 ldbcq2?p0.95:   0.668 s/op
                 ldbcq2?p0.99:   1.135 s/op
                 ldbcq2?p0.999:  1.135 s/op
                 ldbcq2?p0.9999: 1.135 s/op
                 ldbcq2?p1.00:   1.135 s/op

Iteration   2: 0.471 ?(99.9%) 0.090 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.481 s/op
                 ldbcq2?p0.90:   0.568 s/op
                 ldbcq2?p0.95:   0.645 s/op
                 ldbcq2?p0.99:   1.822 s/op
                 ldbcq2?p0.999:  1.822 s/op
                 ldbcq2?p0.9999: 1.822 s/op
                 ldbcq2?p1.00:   1.822 s/op

Iteration   3: 0.499 ?(99.9%) 0.073 s/op
                 ldbcq2?p0.00:   0.237 s/op
                 ldbcq2?p0.50:   0.494 s/op
                 ldbcq2?p0.90:   0.638 s/op
                 ldbcq2?p0.95:   0.746 s/op
                 ldbcq2?p0.99:   1.407 s/op
                 ldbcq2?p0.999:  1.407 s/op
                 ldbcq2?p0.9999: 1.407 s/op
                 ldbcq2?p1.00:   1.407 s/op

Iteration   4: 0.469 ?(99.9%) 0.058 s/op
                 ldbcq2?p0.00:   0.134 s/op
                 ldbcq2?p0.50:   0.464 s/op
                 ldbcq2?p0.90:   0.570 s/op
                 ldbcq2?p0.95:   0.678 s/op
                 ldbcq2?p0.99:   1.174 s/op
                 ldbcq2?p0.999:  1.174 s/op
                 ldbcq2?p0.9999: 1.174 s/op
                 ldbcq2?p1.00:   1.174 s/op

Iteration   5: 0.460 ?(99.9%) 0.072 s/op
                 ldbcq2?p0.00:   0.255 s/op
                 ldbcq2?p0.50:   0.456 s/op
                 ldbcq2?p0.90:   0.559 s/op
                 ldbcq2?p0.95:   0.609 s/op
                 ldbcq2?p0.99:   1.594 s/op
                 ldbcq2?p0.999:  1.594 s/op
                 ldbcq2?p0.9999: 1.594 s/op
                 ldbcq2?p1.00:   1.594 s/op

Iteration   6: 0.448 ?(99.9%) 0.052 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.453 s/op
                 ldbcq2?p0.90:   0.561 s/op
                 ldbcq2?p0.95:   0.608 s/op
                 ldbcq2?p0.99:   0.967 s/op
                 ldbcq2?p0.999:  0.967 s/op
                 ldbcq2?p0.9999: 0.967 s/op
                 ldbcq2?p1.00:   0.967 s/op

Iteration   7: 0.492 ?(99.9%) 0.066 s/op
                 ldbcq2?p0.00:   0.329 s/op
                 ldbcq2?p0.50:   0.484 s/op
                 ldbcq2?p0.90:   0.566 s/op
                 ldbcq2?p0.95:   0.616 s/op
                 ldbcq2?p0.99:   1.476 s/op
                 ldbcq2?p0.999:  1.476 s/op
                 ldbcq2?p0.9999: 1.476 s/op
                 ldbcq2?p1.00:   1.476 s/op

Iteration   8: 0.465 ?(99.9%) 0.061 s/op
                 ldbcq2?p0.00:   0.190 s/op
                 ldbcq2?p0.50:   0.450 s/op
                 ldbcq2?p0.90:   0.546 s/op
                 ldbcq2?p0.95:   0.572 s/op
                 ldbcq2?p0.99:   1.344 s/op
                 ldbcq2?p0.999:  1.344 s/op
                 ldbcq2?p0.9999: 1.344 s/op
                 ldbcq2?p1.00:   1.344 s/op

Iteration   9: 0.465 ?(99.9%) 0.058 s/op
                 ldbcq2?p0.00:   0.079 s/op
                 ldbcq2?p0.50:   0.465 s/op
                 ldbcq2?p0.90:   0.565 s/op
                 ldbcq2?p0.95:   0.627 s/op
                 ldbcq2?p0.99:   1.002 s/op
                 ldbcq2?p0.999:  1.002 s/op
                 ldbcq2?p0.9999: 1.002 s/op
                 ldbcq2?p1.00:   1.002 s/op

Iteration  10: 0.451 ?(99.9%) 0.051 s/op
                 ldbcq2?p0.00:   0.187 s/op
                 ldbcq2?p0.50:   0.451 s/op
                 ldbcq2?p0.90:   0.545 s/op
                 ldbcq2?p0.95:   0.597 s/op
                 ldbcq2?p0.99:   1.135 s/op
                 ldbcq2?p0.999:  1.135 s/op
                 ldbcq2?p0.9999: 1.135 s/op
                 ldbcq2?p1.00:   1.135 s/op


# Run progress: 10.00% complete, ETA 04:08:41
# Fork: 3 of 5
# Warmup Iteration   1: 43.419 s/op
# Warmup Iteration   2: 0.853 ?(99.9%) 0.140 s/op
# Warmup Iteration   3: 0.769 ?(99.9%) 0.106 s/op
# Warmup Iteration   4: 0.742 ?(99.9%) 0.080 s/op
# Warmup Iteration   5: 0.655 ?(99.9%) 0.084 s/op
# Warmup Iteration   6: 0.604 ?(99.9%) 0.073 s/op
# Warmup Iteration   7: 0.593 ?(99.9%) 0.085 s/op
# Warmup Iteration   8: 0.578 ?(99.9%) 0.077 s/op
# Warmup Iteration   9: 0.536 ?(99.9%) 0.068 s/op
# Warmup Iteration  10: 0.511 ?(99.9%) 0.066 s/op
# Warmup Iteration  11: 0.504 ?(99.9%) 0.061 s/op
# Warmup Iteration  12: 0.488 ?(99.9%) 0.060 s/op
# Warmup Iteration  13: 0.512 ?(99.9%) 0.080 s/op
# Warmup Iteration  14: 0.473 ?(99.9%) 0.058 s/op
# Warmup Iteration  15: 0.485 ?(99.9%) 0.059 s/op
Iteration   1: 0.468 ?(99.9%) 0.039 s/op
                 ldbcq2?p0.00:   0.267 s/op
                 ldbcq2?p0.50:   0.484 s/op
                 ldbcq2?p0.90:   0.579 s/op
                 ldbcq2?p0.95:   0.645 s/op
                 ldbcq2?p0.99:   0.655 s/op
                 ldbcq2?p0.999:  0.655 s/op
                 ldbcq2?p0.9999: 0.655 s/op
                 ldbcq2?p1.00:   0.655 s/op

Iteration   2: 0.444 ?(99.9%) 0.061 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.447 s/op
                 ldbcq2?p0.90:   0.586 s/op
                 ldbcq2?p0.95:   0.696 s/op
                 ldbcq2?p0.99:   1.031 s/op
                 ldbcq2?p0.999:  1.031 s/op
                 ldbcq2?p0.9999: 1.031 s/op
                 ldbcq2?p1.00:   1.031 s/op

Iteration   3: 0.451 ?(99.9%) 0.043 s/op
                 ldbcq2?p0.00:   0.100 s/op
                 ldbcq2?p0.50:   0.452 s/op
                 ldbcq2?p0.90:   0.596 s/op
                 ldbcq2?p0.95:   0.624 s/op
                 ldbcq2?p0.99:   0.764 s/op
                 ldbcq2?p0.999:  0.764 s/op
                 ldbcq2?p0.9999: 0.764 s/op
                 ldbcq2?p1.00:   0.764 s/op

Iteration   4: 0.451 ?(99.9%) 0.056 s/op
                 ldbcq2?p0.00:   0.143 s/op
                 ldbcq2?p0.50:   0.442 s/op
                 ldbcq2?p0.90:   0.566 s/op
                 ldbcq2?p0.95:   0.645 s/op
                 ldbcq2?p0.99:   1.099 s/op
                 ldbcq2?p0.999:  1.099 s/op
                 ldbcq2?p0.9999: 1.099 s/op
                 ldbcq2?p1.00:   1.099 s/op

Iteration   5: 0.451 ?(99.9%) 0.061 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.450 s/op
                 ldbcq2?p0.90:   0.578 s/op
                 ldbcq2?p0.95:   0.643 s/op
                 ldbcq2?p0.99:   1.048 s/op
                 ldbcq2?p0.999:  1.048 s/op
                 ldbcq2?p0.9999: 1.048 s/op
                 ldbcq2?p1.00:   1.048 s/op

Iteration   6: 0.469 ?(99.9%) 0.051 s/op
                 ldbcq2?p0.00:   0.149 s/op
                 ldbcq2?p0.50:   0.473 s/op
                 ldbcq2?p0.90:   0.578 s/op
                 ldbcq2?p0.95:   0.643 s/op
                 ldbcq2?p0.99:   0.956 s/op
                 ldbcq2?p0.999:  0.956 s/op
                 ldbcq2?p0.9999: 0.956 s/op
                 ldbcq2?p1.00:   0.956 s/op

Iteration   7: 0.438 ?(99.9%) 0.056 s/op
                 ldbcq2?p0.00:   0.001 s/op
                 ldbcq2?p0.50:   0.464 s/op
                 ldbcq2?p0.90:   0.560 s/op
                 ldbcq2?p0.95:   0.660 s/op
                 ldbcq2?p0.99:   0.781 s/op
                 ldbcq2?p0.999:  0.781 s/op
                 ldbcq2?p0.9999: 0.781 s/op
                 ldbcq2?p1.00:   0.781 s/op

Iteration   8: 0.440 ?(99.9%) 0.057 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.440 s/op
                 ldbcq2?p0.90:   0.553 s/op
                 ldbcq2?p0.95:   0.644 s/op
                 ldbcq2?p0.99:   1.033 s/op
                 ldbcq2?p0.999:  1.033 s/op
                 ldbcq2?p0.9999: 1.033 s/op
                 ldbcq2?p1.00:   1.033 s/op

Iteration   9: 0.465 ?(99.9%) 0.045 s/op
                 ldbcq2?p0.00:   0.191 s/op
                 ldbcq2?p0.50:   0.465 s/op
                 ldbcq2?p0.90:   0.582 s/op
                 ldbcq2?p0.95:   0.636 s/op
                 ldbcq2?p0.99:   0.814 s/op
                 ldbcq2?p0.999:  0.814 s/op
                 ldbcq2?p0.9999: 0.814 s/op
                 ldbcq2?p1.00:   0.814 s/op

Iteration  10: 0.451 ?(99.9%) 0.068 s/op
                 ldbcq2?p0.00:   0.046 s/op
                 ldbcq2?p0.50:   0.432 s/op
                 ldbcq2?p0.90:   0.564 s/op
                 ldbcq2?p0.95:   0.729 s/op
                 ldbcq2?p0.99:   1.206 s/op
                 ldbcq2?p0.999:  1.206 s/op
                 ldbcq2?p0.9999: 1.206 s/op
                 ldbcq2?p1.00:   1.206 s/op


# Run progress: 15.00% complete, ETA 03:57:01
# Fork: 4 of 5
# Warmup Iteration   1: 37.245 s/op
# Warmup Iteration   2: 0.916 ?(99.9%) 0.137 s/op
# Warmup Iteration   3: 0.736 ?(99.9%) 0.109 s/op
# Warmup Iteration   4: 0.734 ?(99.9%) 0.100 s/op
# Warmup Iteration   5: 0.613 ?(99.9%) 0.114 s/op
# Warmup Iteration   6: 0.587 ?(99.9%) 0.092 s/op
# Warmup Iteration   7: 0.572 ?(99.9%) 0.076 s/op
# Warmup Iteration   8: 0.540 ?(99.9%) 0.067 s/op
# Warmup Iteration   9: 0.525 ?(99.9%) 0.067 s/op
# Warmup Iteration  10: 0.536 ?(99.9%) 0.058 s/op
# Warmup Iteration  11: 0.486 ?(99.9%) 0.064 s/op
# Warmup Iteration  12: 0.517 ?(99.9%) 0.058 s/op
# Warmup Iteration  13: 0.511 ?(99.9%) 0.073 s/op
# Warmup Iteration  14: 0.476 ?(99.9%) 0.059 s/op
# Warmup Iteration  15: 0.475 ?(99.9%) 0.060 s/op
Iteration   1: 0.490 ?(99.9%) 0.073 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.483 s/op
                 ldbcq2?p0.90:   0.631 s/op
                 ldbcq2?p0.95:   0.884 s/op
                 ldbcq2?p0.99:   1.052 s/op
                 ldbcq2?p0.999:  1.052 s/op
                 ldbcq2?p0.9999: 1.052 s/op
                 ldbcq2?p1.00:   1.052 s/op

Iteration   2: 0.449 ?(99.9%) 0.046 s/op
                 ldbcq2?p0.00:   0.109 s/op
                 ldbcq2?p0.50:   0.467 s/op
                 ldbcq2?p0.90:   0.569 s/op
                 ldbcq2?p0.95:   0.630 s/op
                 ldbcq2?p0.99:   0.769 s/op
                 ldbcq2?p0.999:  0.769 s/op
                 ldbcq2?p0.9999: 0.769 s/op
                 ldbcq2?p1.00:   0.769 s/op

Iteration   3: 0.458 ?(99.9%) 0.048 s/op
                 ldbcq2?p0.00:   0.209 s/op
                 ldbcq2?p0.50:   0.458 s/op
                 ldbcq2?p0.90:   0.566 s/op
                 ldbcq2?p0.95:   0.657 s/op
                 ldbcq2?p0.99:   0.794 s/op
                 ldbcq2?p0.999:  0.794 s/op
                 ldbcq2?p0.9999: 0.794 s/op
                 ldbcq2?p1.00:   0.794 s/op

Iteration   4: 0.454 ?(99.9%) 0.058 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.459 s/op
                 ldbcq2?p0.90:   0.549 s/op
                 ldbcq2?p0.95:   0.749 s/op
                 ldbcq2?p0.99:   0.952 s/op
                 ldbcq2?p0.999:  0.952 s/op
                 ldbcq2?p0.9999: 0.952 s/op
                 ldbcq2?p1.00:   0.952 s/op

Iteration   5: 0.463 ?(99.9%) 0.056 s/op
                 ldbcq2?p0.00:   0.198 s/op
                 ldbcq2?p0.50:   0.463 s/op
                 ldbcq2?p0.90:   0.605 s/op
                 ldbcq2?p0.95:   0.684 s/op
                 ldbcq2?p0.99:   0.936 s/op
                 ldbcq2?p0.999:  0.936 s/op
                 ldbcq2?p0.9999: 0.936 s/op
                 ldbcq2?p1.00:   0.936 s/op

Iteration   6: 0.480 ?(99.9%) 0.059 s/op
                 ldbcq2?p0.00:   0.254 s/op
                 ldbcq2?p0.50:   0.465 s/op
                 ldbcq2?p0.90:   0.600 s/op
                 ldbcq2?p0.95:   0.642 s/op
                 ldbcq2?p0.99:   1.120 s/op
                 ldbcq2?p0.999:  1.120 s/op
                 ldbcq2?p0.9999: 1.120 s/op
                 ldbcq2?p1.00:   1.120 s/op

Iteration   7: 0.468 ?(99.9%) 0.050 s/op
                 ldbcq2?p0.00:   0.061 s/op
                 ldbcq2?p0.50:   0.474 s/op
                 ldbcq2?p0.90:   0.588 s/op
                 ldbcq2?p0.95:   0.624 s/op
                 ldbcq2?p0.99:   0.769 s/op
                 ldbcq2?p0.999:  0.769 s/op
                 ldbcq2?p0.9999: 0.769 s/op
                 ldbcq2?p1.00:   0.769 s/op

Iteration   8: 0.480 ?(99.9%) 0.053 s/op
                 ldbcq2?p0.00:   0.025 s/op
                 ldbcq2?p0.50:   0.490 s/op
                 ldbcq2?p0.90:   0.573 s/op
                 ldbcq2?p0.95:   0.633 s/op
                 ldbcq2?p0.99:   0.994 s/op
                 ldbcq2?p0.999:  0.994 s/op
                 ldbcq2?p0.9999: 0.994 s/op
                 ldbcq2?p1.00:   0.994 s/op

Iteration   9: 0.452 ?(99.9%) 0.046 s/op
                 ldbcq2?p0.00:   0.256 s/op
                 ldbcq2?p0.50:   0.451 s/op
                 ldbcq2?p0.90:   0.559 s/op
                 ldbcq2?p0.95:   0.619 s/op
                 ldbcq2?p0.99:   0.926 s/op
                 ldbcq2?p0.999:  0.926 s/op
                 ldbcq2?p0.9999: 0.926 s/op
                 ldbcq2?p1.00:   0.926 s/op

Iteration  10: 0.448 ?(99.9%) 0.053 s/op
                 ldbcq2?p0.00:   0.209 s/op
                 ldbcq2?p0.50:   0.455 s/op
                 ldbcq2?p0.90:   0.544 s/op
                 ldbcq2?p0.95:   0.587 s/op
                 ldbcq2?p0.99:   1.042 s/op
                 ldbcq2?p0.999:  1.042 s/op
                 ldbcq2?p0.9999: 1.042 s/op
                 ldbcq2?p1.00:   1.042 s/op


# Run progress: 20.00% complete, ETA 03:42:43
# Fork: 5 of 5
# Warmup Iteration   1: 3.016 ?(99.9%) 10.576 s/op
# Warmup Iteration   2: 0.843 ?(99.9%) 0.093 s/op
# Warmup Iteration   3: 0.716 ?(99.9%) 0.116 s/op
# Warmup Iteration   4: 0.688 ?(99.9%) 0.112 s/op
# Warmup Iteration   5: 0.653 ?(99.9%) 0.099 s/op
# Warmup Iteration   6: 0.627 ?(99.9%) 0.105 s/op
# Warmup Iteration   7: 0.575 ?(99.9%) 0.082 s/op
# Warmup Iteration   8: 0.577 ?(99.9%) 0.078 s/op
# Warmup Iteration   9: 0.557 ?(99.9%) 0.103 s/op
# Warmup Iteration  10: 0.503 ?(99.9%) 0.082 s/op
# Warmup Iteration  11: 0.522 ?(99.9%) 0.095 s/op
# Warmup Iteration  12: 0.509 ?(99.9%) 0.078 s/op
# Warmup Iteration  13: 0.472 ?(99.9%) 0.061 s/op
# Warmup Iteration  14: 0.485 ?(99.9%) 0.058 s/op
# Warmup Iteration  15: 0.471 ?(99.9%) 0.055 s/op
Iteration   1: 0.483 ?(99.9%) 0.069 s/op
                 ldbcq2?p0.00:   0.282 s/op
                 ldbcq2?p0.50:   0.458 s/op
                 ldbcq2?p0.90:   0.595 s/op
                 ldbcq2?p0.95:   0.694 s/op
                 ldbcq2?p0.99:   1.453 s/op
                 ldbcq2?p0.999:  1.453 s/op
                 ldbcq2?p0.9999: 1.453 s/op
                 ldbcq2?p1.00:   1.453 s/op

Iteration   2: 0.462 ?(99.9%) 0.068 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.458 s/op
                 ldbcq2?p0.90:   0.578 s/op
                 ldbcq2?p0.95:   0.692 s/op
                 ldbcq2?p0.99:   1.082 s/op
                 ldbcq2?p0.999:  1.082 s/op
                 ldbcq2?p0.9999: 1.082 s/op
                 ldbcq2?p1.00:   1.082 s/op

Iteration   3: 0.479 ?(99.9%) 0.060 s/op
                 ldbcq2?p0.00:   0.234 s/op
                 ldbcq2?p0.50:   0.481 s/op
                 ldbcq2?p0.90:   0.602 s/op
                 ldbcq2?p0.95:   0.643 s/op
                 ldbcq2?p0.99:   1.250 s/op
                 ldbcq2?p0.999:  1.250 s/op
                 ldbcq2?p0.9999: 1.250 s/op
                 ldbcq2?p1.00:   1.250 s/op

Iteration   4: 0.480 ?(99.9%) 0.094 s/op
                 ldbcq2?p0.00:   0.098 s/op
                 ldbcq2?p0.50:   0.454 s/op
                 ldbcq2?p0.90:   0.613 s/op
                 ldbcq2?p0.95:   0.654 s/op
                 ldbcq2?p0.99:   1.581 s/op
                 ldbcq2?p0.999:  1.581 s/op
                 ldbcq2?p0.9999: 1.581 s/op
                 ldbcq2?p1.00:   1.581 s/op

Iteration   5: 0.475 ?(99.9%) 0.070 s/op
                 ldbcq2?p0.00:   0.202 s/op
                 ldbcq2?p0.50:   0.459 s/op
                 ldbcq2?p0.90:   0.631 s/op
                 ldbcq2?p0.95:   0.757 s/op
                 ldbcq2?p0.99:   1.380 s/op
                 ldbcq2?p0.999:  1.380 s/op
                 ldbcq2?p0.9999: 1.380 s/op
                 ldbcq2?p1.00:   1.380 s/op

Iteration   6: 0.469 ?(99.9%) 0.036 s/op
                 ldbcq2?p0.00:   0.177 s/op
                 ldbcq2?p0.50:   0.477 s/op
                 ldbcq2?p0.90:   0.555 s/op
                 ldbcq2?p0.95:   0.584 s/op
                 ldbcq2?p0.99:   0.736 s/op
                 ldbcq2?p0.999:  0.736 s/op
                 ldbcq2?p0.9999: 0.736 s/op
                 ldbcq2?p1.00:   0.736 s/op

Iteration   7: 0.476 ?(99.9%) 0.069 s/op
                 ldbcq2?p0.00:   0.053 s/op
                 ldbcq2?p0.50:   0.473 s/op
                 ldbcq2?p0.90:   0.564 s/op
                 ldbcq2?p0.95:   0.698 s/op
                 ldbcq2?p0.99:   1.258 s/op
                 ldbcq2?p0.999:  1.258 s/op
                 ldbcq2?p0.9999: 1.258 s/op
                 ldbcq2?p1.00:   1.258 s/op

Iteration   8: 0.448 ?(99.9%) 0.042 s/op
                 ldbcq2?p0.00:   0.174 s/op
                 ldbcq2?p0.50:   0.460 s/op
